flagA,flagB,flagC,flagD,psnrAverage,psnr0,psnr1,psnr2,psnr3,psnr4,psnr5,psnr6,psnr7,psnr8,psnr9,psnr10,psnr11,psnr12,psnr13,psnr14,psnr15,psnr16,psnr17,psnr18,psnr19,psnr20,psnr21,psnr22,psnr23,
465,529,192,8720,27.7353,24.1669,30.2953,31.2938,30.6627,25.145,25.5673,30.2494,21.3059,29.423,29.3716,27.1065,29.9892,22.3945,27.0745,28.8644,28.7362,30.7427,26.2762,26.5011,28.7312,26.5688,28.3929,31.5401,25.2476,
2450,529,192,8720,27.735,24.1392,30.2859,31.3046,30.6902,25.175,25.5711,30.3029,21.25,29.4285,29.3966,27.0988,29.9741,22.3974,27.0919,28.9033,28.7294,30.7496,26.2593,26.4118,28.7166,26.5752,28.3642,31.5832,25.2405,
8593,529,192,8720,27.7347,24.1526,30.2955,31.2969,30.68,25.1628,25.5694,30.2839,21.2956,29.4119,29.3689,27.1032,29.9659,22.4011,27.0884,28.8645,28.7296,30.7542,26.2727,26.457,28.6952,26.5842,28.3868,31.5615,25.2506,
6416,529,192,8720,27.7344,24.1995,30.3383,31.3071,30.6574,25.1335,25.5936,30.2055,21.3405,29.4487,29.3424,27.1248,29.9226,22.3997,27.0893,28.821,28.7582,30.7135,26.2685,26.5346,28.6682,26.5636,28.4077,31.5328,25.2545,
656,529,192,8720,27.7335,24.4508,30.3833,31.458,30.6937,24.8333,25.3568,30.1257,21.5723,29.6834,29.058,27.1519,30.0148,22.2583,26.9288,28.507,28.723,30.7023,26.3106,27.0077,28.8102,26.3517,28.462,31.4093,25.3501,
8600,529,192,8720,27.7328,24.1494,30.3153,31.3165,30.6925,25.1662,25.592,30.266,21.2603,29.4187,29.3552,27.0968,29.9383,22.3961,27.1093,28.8803,28.7776,30.744,26.2565,26.4217,28.6789,26.5836,28.3749,31.5623,25.2354,
9753,529,192,8720,27.7327,24.4271,30.3304,31.4574,30.7284,24.8429,25.3447,30.2427,21.5932,29.7368,29.0112,27.117,30.0757,22.2179,26.9237,28.5375,28.633,30.7056,26.2969,26.9792,28.8401,26.3366,28.4355,31.4539,25.318,
472,529,192,8720,27.7327,24.1609,30.3143,31.3144,30.6749,25.1474,25.5886,30.2314,21.2696,29.4275,29.3575,27.0989,29.9616,22.3889,27.0951,28.8802,28.783,30.7328,26.2588,26.4637,28.7159,26.5671,28.3793,31.5416,25.2316,
1680,529,192,8720,27.7323,24.4455,30.3731,31.4636,30.7059,24.8332,25.3475,30.15,21.5688,29.7079,29.0371,27.142,30.0166,22.2401,26.9312,28.5338,28.7127,30.7089,26.3041,27.0058,28.7941,26.3429,28.4513,31.4224,25.3365,
9760,529,192,8720,27.7317,24.4224,30.3332,31.3039,30.7288,25.2681,25.5721,30.4039,21.4018,29.4131,29.1963,27.1725,29.8712,22.4183,27.1727,27.8121,28.7802,30.7545,26.3609,26.4432,28.7565,26.5849,28.4212,31.6395,25.3289,
464,529,192,8720,27.7316,24.1823,30.3289,31.3085,30.6502,25.1312,25.5842,30.1849,21.2976,29.4036,29.3508,27.1157,29.9406,22.4032,27.085,28.8463,28.7927,30.7303,26.2755,26.5121,28.6914,26.5679,28.4033,31.513,25.2585,
4864,529,192,8720,27.7314,24.1291,30.277,31.1985,30.6068,25.043,25.3224,30.0655,21.5681,29.6541,29.4252,27.0804,30.0528,22.25,26.9042,28.6701,28.4175,30.6417,26.4429,26.7647,29.3295,26.1614,28.4901,31.6787,25.379,
